Accession,"Abundances (Scaled): F16: Sample, 1","Abundances (Scaled): F17: Sample, 2","Abundances (Scaled): F18: Sample, 3","Abundances (Scaled): F28: Sample, 13","Abundances (Scaled): F29: Sample, 14","Abundances (Scaled): F30: Sample, 15","Abundance: F16: Sample, 1","Abundance: F17: Sample, 2","Abundance: F18: Sample, 3","Abundance: F28: Sample, 13","Abundance: F29: Sample, 14","Abundance: F30: Sample, 15"
AO090003000935,5.4,4.3,7.4,81.0,35.7,77.8,95978581.9870605,94165720.871582,129734429.947754,1888527193.22461,1011601533.03125,1584488445.70898
AO090023000944,242.7,250.1,258.5,42.9,72.6,45.7,237826599.914063,301617668.84375,250421859.734375,55147912.421875,113405944.695313,51285231.9296875
AO090003001591,231.8,214.1,244.3,62.8,84.6,60.1,9888853248.43848,11238871252.0469,10305177996.6836,3511918693.13477,5755309196.85547,2932829614.38867
AO090005001300,96.3,38.4,17.0,89.7,111.3,82.3,72042761.7236328,35320769.2558594,12570478.4018555,87936450.3984375,132825246.152344,70463643.2207031
AO090010000746,98.6,105.3,113.0,260.9,284.5,247.8,236714817.819336,310798894.894531,268195773.179688,820683634.429688,1088922821.70703,680744449.320313
AO090026000003,1.4,0.8,0.3,505.8,427.4,477.1,2416513.90185547,1555881.3984375,523758.720703125,1116246171.07813,1147486653.27344,919555804.5625
AO090023000837,7.5,13.5,3.9,324.3,397.2,321.4,2485291.98046875,5503704.03515625,1278580.14550781,141105090.554688,210245889.238281,122105255.648438
AO090005001090,83.4,99.3,56.3,22.8,25.9,21.5,198134957.771484,290290059.30957,132221002.395508,70865596.6582031,98170295.5214844,58577060.9765625
AO090003001036,13.3,5.8,10.0,0.6,0.4,0.3,101723986.98291,54830570.2553711,75946662.0004883,5622145.74609375,4504870.5,3027622.53808594
AO090003000346,32.1,24.7,22.1,23.9,33.7,23.9,34919488.9145508,32998172.0341797,23741534.6782227,34044639.4707031,58387863.3105469,29799270.3759766
AO090012000995,43.1,39.6,19.7,237.2,363.4,257.0,12452493.9238281,14070669.6074219,5623224.52832031,89822350.4296875,167444791.296875,85001590.1796875
AO090023000645,59.5,125.8,29.4,116.6,120.7,120.8,10221811.4560547,26576959.1328125,4986035.04785156,26244879.8359375,33056572.4980469,23744548.53125
AO090003000055,0.7,3.1,0.8,308.1,381.1,366.6,105004.937011719,550594.69140625,111910.290527344,58584502.1757813,88187406.9296875,60876594.8203125
AO090001000635,119.4,117.0,106.4,85.0,105.7,87.0,68220278.3300781,82210387.1210938,60107670.96875,63624604.6679688,96252144.2617188,56889714.7148438
AO090001000406,38.7,67.9,42.7,45.6,61.6,44.3,18551567.1904297,40074946.7421875,20252520.8828125,28664582.1113281,47121801.0058594,24322644.5546875
AO090102000092,16.2,27.0,15.5,160.6,106.7,160.4,16315169.8544922,33512212.4462891,15510088.9609375,212501201.203125,171845663.761719,185309799.457031
AO090038000279,31.7,82.9,38.3,13.7,51.8,12.3,75975418.0283203,244991378.21875,90875965.9589844,43077433.8164063,198380951.332031,33711669.546875
AO090011000659,15.9,34.4,5.6,255.7,226.9,240.8,2657787.0,7054068.40917969,921813.370117188,55937492.578125,60385863.9609375,45991154.234375
AO090166000084,32.6,64.4,56.8,1.3,1.9,1.5,19999648.9023438,48572296.28125,34461757.1132813,1076973.3828125,1856068.42285156,1056974.82617188
AO090005000189,56.4,62.5,62.8,36.6,34.0,35.1,19665309.1337891,26814687.8417969,21637655.0859375,16723112.7148438,18877988.5332031,14017214.4375
AO090009000219,27.0,53.7,27.2,99.3,81.8,101.0,4640682.60400391,11336464.5566406,4607463.34472656,22335775.6640625,22392363.8164063,19841453.9589844
AO090023000804,0.6,0.7,1.1,599.9,197.3,521.6,495665.08203125,789185.749755859,957228.8515625,703111049.769531,281340321.03125,533896395.710938
AO090011000046,114.2,164.1,60.4,43.0,73.1,45.0,1100289681.875,1944986817.4043,575718193.708008,543544041.871094,1123231215.70703,495871090.792969
AO090020000521,17.0,4.5,3.2,82.5,101.4,90.8,23848944.6464844,7857976.41699219,4487001.01660156,151973569.273438,227213508.546875,146079396.0625
AO090011000119,29.2,39.6,47.0,158.7,93.4,170.2,69028334.8320313,115183159.194336,109772619.791992,491444529.855469,351973454.394531,460461446.074219
