Accession,Liquid culture rna expression levels
AO090120000112,4557.36429030049
AO090120000080,4505.03931107947
AO090003001322,5548.41754611678
AO090009000405,2223.30042858042
AO090003000661,2355.88264310022
AO090005000939,9537.22047528653
AO090011000266,1387.37897445791
AO090005000583,3449.41267510907
AO090023000260,79.2855407797777
AO090038000286,1051.98756372562
AO090023000944,5562.1445787229
AO090120000196,5561.74187718788
AO090010000666,5426.60830262584
AO090012000174,330.14175387212
AO090003000090,1768.61905401029
AO090003000055,2798.47577675321
AO090005000414,744.109831271939
AO090005000739,211.80551889939
AO090003000679,1782.55884439108
AO090011000202,809.191629028118
AO090003000310,218.869421857757
AO090020000424,41.1665587221401
AO090003000938,1415.13766416475
AO090023000599,919.682702121671
AO090009000634,920.715326372715
AO090011000954,1516.62529906972
AO090005000996,1518.65834408738
AO090003001182,853.285882019792
AO090010000752,3407.14693162486
AO090011000336,4007.95255563239
AO090009000715,1119.7537444855
AO090001000456,1238.01482236194
AO090020000540,2053.48078847598
AO090023000905,1726.92755719464
AO090012000997,1186.60289413729
AO090038000395,1570.96581154687
AO090003000257,119.348295066309
AO090012000495,1360.23127140202
AO090011000774,887.757347920154
AO090023000798,997.705741345516
AO090038000110,1063.42873397095
AO090009000698,858.084025189759
AO090010000722,1.08749187034577
AO090009000289,94.2962134151284
AO090103000331,811.042480094379
AO090038000287,1184.9191690131
AO090003000398,35.3442961378549
AO090020000517,1596.49174928387
AO090120000215,1490.60097807545
AO090701000543,805.999664904595
AO090005000026,2563.64936565801
AO090023000830,856.369069825495
AO090005000940,3422.51338093463
AO090011000414,1631.64860299044
AO090038000249,589.018490811769
AO090005001059,664.504467692109
AO090120000256,581.632285613052
AO090005001601,833.651563526675
AO090009000269,1038.69403040247
AO090026000708,312.784393935717
AO090005001225,944.829257180725
AO090023000430,1062.5695245861
AO090003001296,2860.3468883859
AO090020000032,813.085376244416
AO090020000520,1267.36098708667
AO090003000917,723.783960605816
AO090011000367,877.593044208522
AO090026000267,299.682313194497
AO090012000929,770.01286137554
AO090023001009,530.848663166681
AO090120000183,159.487509033879
AO090011000775,588.737484985289
AO090120000169,814.900599407344
AO090003000947,599.53580263479
AO090001000413,619.075002938328
AO090102000360,1053.72514689103
AO090001000164,8.65949105023267
AO090012000624,1083.01152629308
AO090038000459,659.867298500982
AO090005001280,270.871878281403
AO090003000895,624.096270334799
AO090011000916,1080.73430054181
AO090001000485,627.932785164514
AO090102000226,606.96226700059
AO090038000295,801.22999713615
AO090023000021,767.008397259014
AO090003000725,864.080242209765
AO090038000465,344.90722680634
AO090120000249,702.824810897909
AO090020000006,1035.17527280737
AO090001000412,1401.32389926306
AO090103000136,917.774957263348
AO090011000490,538.418041824153
AO090005000265,819.954127527958
AO090003000618,634.691969968176
AO090005000803,1156.20638635746
AO090020000073,1208.1883267897
AO090020000297,516.007248440618
AO090009000485,651.647076599062
AO090011000901,731.269378363957
AO090023000906,966.195525523106
AO090011000590,647.850396828563
AO090102000344,25.5448353874897
AO090102000538,4.4082712413317
AO090023000915,628.52597656399
AO090026000458,553.992458157602
AO090003001062,163.762608912801
AO090001000733,169.221092264672
AO090120000131,652.260322826367
AO090120000214,512.956855575421
AO090023000431,653.281969472162
AO090023000923,635.306044922807
AO090206000047,556.549623999081
AO090011000338,479.160739775296
AO090026000656,400.000972456693
AO090010000482,627.625950450087
AO090012000496,943.07218948003
AO090009000395,523.562777559316
AO090103000056,591.286331588644
AO090038000254,744.055060271636
AO090701000014,554.60667101344
AO090038000592,564.059555365235
AO090023000702,1644.1407259562
AO090020000313,516.368310523514
AO090005000737,393.486516053423
AO090003000476,167.603372575703
AO090003000124,1.92825385865868
AO090038000417,556.953432398517
AO090701000168,731.200594442897
AO090005001622,681.251265767149
AO090023000837,310.601795367271
AO090003001132,522.392657062721
AO090003000454,531.767737190677
AO090011000596,404.383731955861
AO090003001320,877.189864766837
AO090012000821,395.602629754193
AO090012000995,639.426603835265
AO090005001300,575.01950176809
AO090701000554,290.924499089692
AO090011000626,345.647457400182
