From	Entry	Protein names	Gene Ontology (molecular function)
AO090023000804	Q2UGK8	Hydrophobic surface binding protein A	
AO090103000076	Q2TYW9	Platelet-derived growth factor (PDGF) family profile domain-containing protein	growth factor activity [GO:0008083]
AO090011000046	Q2U1F7	Peptidase A1 domain-containing protein	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]; 3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]; holo-[acyl-carrier-protein] synthase activity [GO:0008897]; hydrolase activity [GO:0016787]
AO090113000063	Q2U5P1	Endo-chitosanase C (EC 3.2.1.132)	chitosanase activity [GO:0016977]
AO090701000295	Q2U8T9	Uncharacterized protein	
AO090003000935	Q2UK66	Uncharacterized protein	
AO090020000710	Q2U3L3	Uncharacterized protein	
AO090026000003	Q2UG11	Beta-cyclopiazonate dehydrogenase (EC 1.21.99.1) (Beta-Cyclopiazonate oxidocyclase) (FAD-dependent oxidoreductase cpaO)	beta-cyclopiazonate dehydrogenase activity [GO:0050448]
AO090003001507	Q2UIR7	Cutinase (EC 3.1.1.74)	cutinase activity [GO:0050525]; lipase activity [GO:0016298]; triglyceride lipase activity [GO:0004806]
AO090011000195	Q2U130	Hydrophobic surface binding protein A-domain-containing protein	
AO090020000162	Q2U4X6	FAD-binding PCMH-type domain-containing protein	FAD binding [GO:0071949]; oxidoreductase activity [GO:0016491]
AO090010000704	Q2TW51	Uncharacterized protein	
AO090003001484	Q2UIT6	Cell wall protein PhiA	
AO090113000195	Q2U5C8	MmgE/PrpD family protein	lyase activity [GO:0016829]
AO090011000808	Q2TZL2	Secreted protein CSS2 C-terminal domain-containing protein	
AO090102000092	Q2UB64	SGNH hydrolase-type esterase domain-containing protein	hydrolase activity [GO:0016787]
AO090113000062	Q2U5P2	Uncharacterized protein	
AO090023000783	Q2UGM9	Nitronate monooxygenase domain-containing protein	nitronate monooxygenase activity [GO:0018580]
AO090020000698	Q2U3M4	Alginate lyase 2 domain-containing protein	
AO090003000354	Q2ULM2	probable leucine aminopeptidase 2 (EC 3.4.11.-) (Aminopeptidase II) (Leucyl aminopeptidase 2) (LAP2)	aminopeptidase activity [GO:0004177]; metal ion binding [GO:0046872]; metalloexopeptidase activity [GO:0008235]
