Position,Relative importance,Scaled importance,Percentage
13,0.07632939517498016,1.0,0.15994423325542853
8,0.06930044293403625,0.9079129053121606,0.145215433502862
1,0.0656801238656044,0.8604826975903189,0.13762924529564632
5,0.06529022753238678,0.8553746218309891,0.1368122380349097
3,0.040193576365709305,0.526580569301881,0.0842235254041964
6,0.037122707813978195,0.4863487746611487,0.0777886818578946
17,0.0363820418715477,0.47664522675889465,0.07623665532881127
2,0.036271046847105026,0.47519106844690717,0.07600407109256843
10,0.03507206588983536,0.45948308393424225,0.0734916695537021
7,0.003951419144868851,0.05176798710130586,0.00827999100409528
4,0.002996141789481044,0.03925279091511971,0.006278257546054473
12,0.0024384786374866962,0.031946783174380496,0.005109703739803714
19,0.002207246609032154,0.02891738633552886,0.00462516918518717
14,0.0014327254611998796,0.01877029757559915,0.003002200853705435
16,0.0008006874704733491,0.01048989669887761,0.0016777984844306305
18,0.0007204834255389869,0.009439134476138918,0.0015097351263809204
15,0.0006355590303428471,0.008326530413163493,0.0013317805226114414
11,0.00040068302769213915,0.005249393458098278,0.0008396102117115916
9,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.0,0.0,0.0
34,0.0,0.0,0.0
35,0.0,0.0,0.0
36,0.0,0.0,0.0
37,0.0,0.0,0.0
38,0.0,0.0,0.0
39,0.0,0.0,0.0
40,0.0,0.0,0.0
41,0.0,0.0,0.0
42,0.0,0.0,0.0
43,0.0,0.0,0.0
44,0.0,0.0,0.0
45,0.0,0.0,0.0
46,0.0,0.0,0.0
47,0.0,0.0,0.0
48,0.0,0.0,0.0
49,0.0,0.0,0.0
50,0.0,0.0,0.0
51,0.0,0.0,0.0
52,0.0,0.0,0.0
53,0.0,0.0,0.0
54,0.0,0.0,0.0
55,0.0,0.0,0.0
56,0.0,0.0,0.0
57,0.0,0.0,0.0
58,0.0,0.0,0.0
59,0.0,0.0,0.0
60,0.0,0.0,0.0
61,0.0,0.0,0.0
62,0.0,0.0,0.0
63,0.0,0.0,0.0
64,0.0,0.0,0.0
65,0.0,0.0,0.0
66,0.0,0.0,0.0
