Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
AO090005000029-T-p1,Extracellular,Signal peptide,0.1108999997377395,0.0384999997913837,0.9771999716758728,0.0412000007927417,0.0839999988675117,0.0104999998584389,0.0627000033855438,0.1055999994277954,0.0403999984264373,0.0019000000320374
AO090005000042-T-p1,Extracellular,Signal peptide,0.1013000011444091,0.1076000034809112,0.9567000269889832,0.098700001835823,0.1712000072002411,0.0126000000163912,0.2263000011444091,0.1168000027537345,0.1561000049114227,0.003000000026077
AO090005000064-T-p1,Extracellular,Signal peptide,0.1578000038862228,0.0747999995946884,0.9635000228881836,0.0653000026941299,0.0562999993562698,0.0077999997884035,0.0886000022292137,0.1613000035285949,0.0825999975204467,0.0024000001139938
AO090005000108-T-p1,Endoplasmic reticulum,Signal peptide,0.1096000000834465,0.2312999963760376,0.2558000087738037,0.0768000036478042,0.1287000030279159,0.0421999990940094,0.738099992275238,0.3057000041007995,0.2269999980926513,0.0010999999940395
AO090005000117-T-p1,Nucleus,Nuclear localization signal,0.4711000025272369,0.8194000124931335,0.0057000000961124,0.0406000018119812,0.0763000026345253,0.0003000000142492,0.2982999980449676,0.1827999949455261,0.0546999983489513,0.0037000000011175
AO090005000135-T-p1,Cytoplasm,Nuclear export signal,0.6929000020027161,0.4679000079631805,0.1414999961853027,0.1316999942064285,0.2861000001430511,0.048200000077486,0.1728000044822693,0.0982000008225441,0.1199000030755996,0.0307999998331069
AO090005000169-T-p1,Cytoplasm,Signal peptide,0.5038999915122986,0.221000000834465,0.3086000084877014,0.2373999953269958,0.1339000016450882,0.0182000007480382,0.4891000092029571,0.1844000071287155,0.2477000057697296,0.1752000004053115
AO090005000189-T-p1,Extracellular,Signal peptide,0.179299995303154,0.066100001335144,0.8507999777793884,0.1253000050783157,0.123599998652935,0.019200000911951,0.2845999896526336,0.201100006699562,0.0886000022292137,0.0023000000510364
AO090005000217-T-p1,Extracellular,Signal peptide,0.210099995136261,0.0710999965667724,0.8860999941825867,0.1497000008821487,0.034400001168251,0.0164000000804662,0.2067999988794326,0.2597000002861023,0.1652999967336654,0.0103000001981854
AO090005000231-T-p1,Extracellular,Signal peptide,0.1146000027656555,0.0362999998033046,0.9609000086784364,0.0370999984443187,0.1272999942302703,0.0015999999595806,0.1216000020503997,0.1589999943971634,0.0566999986767768,0.0006000000284984
AO090005000253-T-p1,Extracellular,Signal peptide,0.1671999990940094,0.1269000023603439,0.9218999743461608,0.025900000706315,0.1730999946594238,0.0125000001862645,0.1906999945640564,0.2290000021457672,0.0921000018715858,0.0005000000237487
AO090005000269-T-p1,Nucleus,Nuclear localization signal,0.3747999966144562,0.9207000136375428,0.1120000034570694,0.0297999996691942,0.0590000003576278,0.00179999996908,0.1539999991655349,0.031700000166893,0.0167999994009733,0.0003999999898951
AO090005000327-T-p1,Cytoplasm,Peroxisomal targeting signal,0.8391000032424927,0.5002999901771545,0.2842999994754791,0.0791999995708465,0.1500000059604644,0.0065999999642372,0.0456000007688999,0.2178000062704086,0.1174999997019767,0.3353999853134155
AO090005000331-T-p1,Nucleus,,0.3210999965667724,0.5597000122070312,0.4988999962806701,0.1292999982833862,0.4230999946594238,0.1196999996900558,0.1324999928474426,0.0361000001430511,0.0923999994993209,0.2387000024318695
