Accession,MM mean abundances (Scaled),MM mean abundances (Scaled-Normalized),MM + Nitrogen mean abundances (Scaled),MM + Nitrogen mean abundances (Scaled-Normalized),MM mean abundances (Raw),MM mean abundances (Raw-Normalized),MM + Nitrogen mean abundances (Raw),MM + Nitrogen mean abundances (Raw-Normalized)
AO090003000935,5.7,0.0592846083355953,64.83333333333333,0.0592846083355953,106626244.26879883,0.010224128409742865,1494872390.6549466,0.4179234540632222
AO090023000944,250.4333333333333,0.0442703120042493,53.73333333333333,0.0442703120042493,263288709.497396,0.025062136005463337,73279696.3489585,0.017628084517868015
AO090003001591,230.0666666666667,0.0585371485493485,69.16666666666666,0.0585371485493485,10477634165.722994,1.0,4066685834.79297,1.0
AO090005001300,50.56666666666666,0.08075912924719277,94.43333333333334,0.08075912924719277,39978003.1271159,0.003882208727551293,97075113.25716154,0.02404468577220245
AO090010000746,105.63333333333333,0.22829465729222578,264.40000000000003,0.22829465729222578,271903161.9645183,0.025871884599284134,863450301.8190104,0.21833079689173415
AO090026000003,0.8333333333333334,0.41438259178881104,470.1000000000001,0.41438259178881104,1498718.0069986985,0.000144149245615704,1061096209.6380234,0.27691850531898193
AO090023000837,8.299999999999999,0.2964592143366971,347.6333333333334,0.2964592143366971,3089192.053710937,0.00028797163497897444,157818745.14713565,0.0394446209289853
AO090005001090,79.66666666666667,0.02002913804103385,23.400000000000002,0.02002913804103385,206882006.49218735,0.019564895185279863,75870984.38541667,0.019066282526305076
AO090003001036,9.700000000000001,0.00027995752577627604,0.43333333333333335,0.00027995752577627604,77500406.41292314,0.007511323571624416,4384879.594726563,0.0011352550164270058
AO090003000346,26.3,0.022760347191490327,27.166666666666668,0.022760347191490327,30553065.2089844,0.0029233129130738817,40743924.385742195,0.009996527793898933
AO090012000995,34.13333333333333,0.23787097424854778,285.8666666666666,0.23787097424854778,10715462.686523436,0.001018566336685877,114089577.30208333,0.027881099621994764
AO090023000645,71.56666666666668,0.10275837506186741,119.36666666666667,0.10275837506186741,13928268.545572922,0.0012936876649876491,27682000.28841147,0.007100925299086121
AO090003000055,1.5333333333333332,0.2960873641407784,351.9333333333334,0.2960873641407784,255836.63964843765,2.3095385648081172e-05,69216167.97526044,0.017583791049873915
AO090001000635,114.26666666666667,0.07857508756573957,92.56666666666666,0.07857508756573957,70179445.4733073,0.006681706810892897,72255487.88151047,0.01807612957201417
AO090001000406,49.76666666666667,0.04265410377296105,50.5,0.04265410377296105,26293011.605143234,0.002468616594023624,33369675.890625,0.008210921025793405
