Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
AO090005000016-T-p1,Extracellular,,0.2978000044822693,0.1976999938488006,0.5764999985694885,0.0714000016450882,0.5521000027656555,0.0031999999191612,0.1229000017046928,0.067500002682209,0.0993999987840652,0.0478000007569789
AO090005000029-T-p1,Extracellular,Signal peptide,0.0718000009655952,0.0302000008523464,0.9718000292778016,0.063799999654293,0.1718000024557113,0.0262000001966953,0.0179999992251396,0.0684999972581863,0.0712999999523162,0.0296000000089406
AO090005000042-T-p1,Extracellular,,0.3249000012874603,0.1702000051736831,0.7498000264167786,0.0754999965429306,0.5361999869346619,0.0100999996066093,0.0838000029325485,0.0483000017702579,0.0370999984443187,0.068400003015995
AO090005000053-T-p1,Mitochondrion,Peroxisomal targeting signal,0.2175000011920929,0.1159000024199485,0.1057000011205673,0.1464000046253204,0.3774000108242035,0.1780000030994415,0.2340999990701675,0.0891000032424926,0.1120000034570694,0.2351000010967254
AO090005000059-T-p1,Extracellular,Signal peptide,0.1448000073432922,0.0925000011920929,0.6970999836921692,0.0714000016450882,0.3208000063896179,0.0129000004380941,0.1845999956130981,0.1501999944448471,0.2527999877929687,0.0850000008940696
AO090005000064-T-p1,Extracellular,Signal peptide,0.1959999948740005,0.0966000035405159,0.7494000196456909,0.0577999986708164,0.4072000086307525,0.0057999999262392,0.2284000068902969,0.1348000019788742,0.2450000047683715,0.0115000000223517
AO090005000065-T-p1,Extracellular,,0.2442000061273574,0.0949999988079071,0.8163999915122986,0.1058999970555305,0.5376999974250793,0.0189999993890523,0.0295000001788139,0.0553999990224838,0.0838000029325485,0.049100000411272
AO090005000067-T-p1,Extracellular,Signal peptide,0.2369000017642974,0.1128000020980835,0.6173999905586243,0.0930999964475631,0.3883000016212463,0.0205000005662441,0.2254000008106231,0.1467999964952469,0.1315000057220459,0.0260000005364418
AO090005000078-T-p1,Extracellular,Signal peptide,0.1301999986171722,0.0640999972820282,0.7702000141143799,0.0500999987125396,0.4997000098228454,0.0236000008881092,0.1766999959945678,0.1535000056028366,0.1797000020742416,0.0272000003606081
AO090005000081-T-p1,Extracellular,,0.2215999960899353,0.123599998652935,0.4172999858856201,0.0935000032186508,0.3978999853134155,0.0353999994695186,0.2356999963521957,0.1000000014901161,0.1565999984741211,0.0859000012278556
AO090005000093-T-p1,Extracellular,,0.2351000010967254,0.0746000036597251,0.640999972820282,0.0793000012636184,0.489300012588501,0.0452999994158744,0.0879999995231628,0.1150999963283538,0.0773999989032745,0.0207000002264976
AO090005000094-T-p1,Extracellular,Signal peptide,0.1013000011444091,0.0733999982476234,0.9366999864578248,0.0483999997377395,0.1985999941825866,0.0020999999251216,0.0388999991118907,0.0553000010550022,0.1058000028133392,0.0041000000201165
AO090005000108-T-p1,Extracellular,Signal peptide,0.1052000001072883,0.0161000005900859,0.944599986076355,0.1345999985933303,0.1589999943971634,0.0167999994009733,0.0373999997973442,0.0903000012040138,0.1155999973416328,0.0031999999191612
AO090005000109-T-p1,Extracellular,Signal peptide,0.2567000091075897,0.1740999966859817,0.4855999946594238,0.0961000025272369,0.1988999992609024,0.094200000166893,0.2270999997854232,0.2270999997854232,0.2322999984025955,0.097800001502037
AO090005000167-T-p1,Mitochondrion,,0.3946000039577484,0.3073999881744385,0.3582000136375427,0.3174999952316284,0.6877999901771545,0.0087000001221895,0.0140000004321336,0.0168999992311,0.0357999987900257,0.0390000008046627
AO090005000188-T-p1,Mitochondrion,,0.3738000094890594,0.2581999897956848,0.5256999731063843,0.159400001168251,0.7799000144004822,0.006000000052154,0.0930000022053718,0.033900000154972,0.0948000028729438,0.0835999995470047
AO090005000189-T-p1,Extracellular,,0.4056999981403351,0.1020999997854232,0.6604999899864197,0.120899997651577,0.585099995136261,0.0120999999344348,0.0830999985337257,0.0181000009179115,0.0524999983608722,0.016499999910593
AO090005000217-T-p1,Cytoplasm|Extracellular|Mitochondrion,,0.4846000075340271,0.2005999982357025,0.7124000191688538,0.2372000068426132,0.625,0.0430999994277954,0.0138999996706843,0.0794000029563903,0.1088000014424324,0.0920000001788139
AO090005000231-T-p1,Extracellular,Signal peptide,0.186599999666214,0.0546999983489513,0.8176000118255615,0.0683000013232231,0.2766000032424927,0.0087999999523162,0.070200003683567,0.0816000029444694,0.1469999998807907,0.0204000007361173
AO090005000239-T-p1,Extracellular,Signal peptide,0.1238000020384788,0.0450000017881393,0.8701000213623047,0.1187999993562698,0.2926999926567077,0.0078999996185302,0.0773999989032745,0.066600002348423,0.1898999959230423,0.0159000009298324
AO090005000251-T-p1,Extracellular|Mitochondrion,,0.4320000112056732,0.4492999911308288,0.7721999883651733,0.0967999994754791,0.7989000082015991,0.0015000000130385,0.0428000018000602,0.0373999997973442,0.1597000062465667,0.0784000009298324
AO090005000252-T-p1,Extracellular,Signal peptide,0.1739999949932098,0.0568000003695488,0.7871000170707703,0.0430999994277954,0.2863000035285949,0.006000000052154,0.0771000012755394,0.1080000028014183,0.1694999933242797,0.0059000002220273
AO090005000253-T-p1,Extracellular,Signal peptide,0.101000003516674,0.0621999986469745,0.8626000285148621,0.0485000014305114,0.3862999975681305,0.0074999998323619,0.0597000010311603,0.0728999972343444,0.0742999985814094,0.0031999999191612
AO090005000256-T-p1,Extracellular,,0.2529999911785126,0.0874999985098838,0.8112000226974487,0.1486999988555908,0.2899999916553497,0.013600000180304,0.0926000028848648,0.0474999994039535,0.0861999988555908,0.0520000010728836
AO090005000298-T-p1,Extracellular,,0.1352999955415725,0.0776000022888183,0.6705999970436096,0.1466999948024749,0.4230999946594238,0.098700001835823,0.1030000001192092,0.1393000036478042,0.1112999990582466,0.0304000005125999
AO090005000310-T-p1,Extracellular,,0.4063999950885772,0.4361000061035156,0.5773000121116638,0.0895000025629997,0.5705000162124634,0.0430999994277954,0.2334000021219253,0.0830999985337257,0.1767999976873397,0.2175000011920929
AO090005000311-T-p1,Extracellular,Signal peptide,0.2318000048398971,0.0784000009298324,0.7828999757766724,0.0511999987065792,0.3702999949455261,0.0051000001840293,0.0838000029325485,0.0608000010251998,0.1317999958992004,0.0094999996945261
AO090005000326-T-p1,Extracellular,,0.2045000046491623,0.1317999958992004,0.7232000231742859,0.1410000026226043,0.4499000012874603,0.0129000004380941,0.0537000000476837,0.0639000013470649,0.09740000218153,0.0830999985337257
AO090005000347-T-p1,Mitochondrion,,0.4580999910831451,0.1317999958992004,0.2912000119686126,0.3675999939441681,0.6086000204086304,0.1018000021576881,0.4266000092029571,0.1950999945402145,0.0839999988675117,0.1243000030517578
