Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
AO090003000935-T-p1,Extracellular,Signal peptide,0.1876000016927719,0.16410000622272491,0.5056999921798706,0.06679999828338623,0.3192000091075897,0.022199999541044235,0.13779999315738678,0.21209999918937683,0.10109999775886536,0.013399999588727951
AO090023000944-T-p1,Mitochondrion,,0.2653000056743622,0.3375000059604645,0.22059999406337738,0.1378999948501587,0.5486000180244446,0.05429999902844429,0.06800000369548798,0.08190000057220459,0.10209999978542328,0.06449999660253525
AO090003001591-T-p1,Mitochondrion,,0.2653000056743622,0.3375000059604645,0.22059999406337738,0.1378999948501587,0.5486000180244446,0.05429999902844429,0.06800000369548798,0.08190000057220459,0.10209999978542328,0.06449999660253525
AO090010000746-T-p1,Extracellular|Mitochondrion,,0.31839999556541443,0.14319999516010284,0.6632000207901001,0.08240000158548355,0.6791999936103821,0.031099999323487282,0.04690000042319298,0.06159999966621399,0.04820000007748604,0.1136000007390976
AO090026000003-T-p1,Cytoplasm,Peroxisomal targeting signal,0.6236000061035156,0.3018999993801117,0.438400000333786,0.09480000287294388,0.2176000028848648,0.11620000004768372,0.226500004529953,0.19689999520778656,0.17739999294281006,0.35120001435279846
AO090005001090-T-p1,Extracellular,Signal peptide,0.1615999937057495,0.07519999891519547,0.7290999889373779,0.05420000106096268,0.430400013923645,0.01080000028014183,0.06369999796152115,0.05050000175833702,0.08429999649524689,0.009200000204145908
AO090003001036-T-p1,Extracellular,Signal peptide,0.22509999573230743,0.07970000058412552,0.6786999702453613,0.06710000336170197,0.4147999882698059,0.03970000147819519,0.17810000479221344,0.1404999941587448,0.11550000309944153,0.03099999949336052
AO090003000346-T-p1,Extracellular,,0.31619998812675476,0.1738000065088272,0.6650999784469604,0.04879999905824661,0.46720001101493835,0.02419999986886978,0.07190000265836716,0.08860000222921371,0.08259999752044678,0.043299999088048935
AO090001000635-T-p1,Extracellular,Signal peptide,0.1550000011920929,0.09350000321865082,0.48159998655319214,0.07729999721050262,0.35269999504089355,0.07039999961853027,0.07569999992847443,0.12950000166893005,0.12489999830722809,0.029899999499320984
AO090001000406-T-p1,Mitochondrion,,0.3294000029563904,0.11490000039339066,0.46970000863075256,0.1678999960422516,0.4973999857902527,0.27639999985694885,0.09780000150203705,0.1687999963760376,0.15809999406337738,0.03449999913573265
AO090102000092-T-p1,Extracellular,Signal peptide,0.22030000388622284,0.29600000381469727,0.6173999905586243,0.05719999969005585,0.2467000037431717,0.0005000000237487257,0.2678999900817871,0.0746999979019165,0.10589999705553055,0.009200000204145908
AO090038000279-T-p1,Extracellular,Signal peptide,0.13339999318122864,0.0625,0.9096999764442444,0.1046999990940094,0.3801000118255615,0.024000000208616257,0.09220000356435776,0.10840000212192535,0.13379999995231628,0.0203000009059906
AO090166000084-T-p1,Extracellular,,0.20149999856948853,0.05429999902844429,0.8928999900817871,0.08799999952316284,0.4106999933719635,0.06499999761581421,0.039799999445676804,0.04639999940991402,0.053700000047683716,0.06400000303983688
AO090005000189-T-p1,Extracellular,,0.4056999981403351,0.10209999978542328,0.6604999899864197,0.120899997651577,0.585099995136261,0.01209999993443489,0.08309999853372574,0.01810000091791153,0.05249999836087227,0.016499999910593033
AO090011000119-T-p1,Extracellular,Signal peptide,0.05389999970793724,0.03779999911785126,0.954800009727478,0.0575999990105629,0.3418000042438507,0.022700000554323196,0.039400000125169754,0.0357000008225441,0.08209999650716782,0.0210999995470047
AO090009000144-T-p1,Extracellular,Signal peptide,0.12389999628067017,0.039000000804662704,0.9649999737739563,0.09960000216960907,0.23569999635219574,0.009100000374019146,0.13619999587535858,0.08290000259876251,0.10499999672174454,0.004000000189989805
AO090011000235-T-p1,Extracellular,Signal peptide,0.23970000445842743,0.07280000299215317,0.7850000262260437,0.0729999989271164,0.3587000072002411,0.028300000354647636,0.1339000016450882,0.0746999979019165,0.07370000332593918,0.01769999973475933
AO090103000076-T-p1,Extracellular,Signal peptide,0.09049999713897705,0.05820000171661377,0.7709000110626221,0.08110000193119049,0.11949999630451202,0.017799999564886093,0.2011999934911728,0.16050000488758087,0.2003999948501587,0.0035000001080334187
AO090020000207-T-p1,Extracellular,,0.321399986743927,0.057500001043081284,0.6924999952316284,0.1160999983549118,0.5371999740600586,0.06390000134706497,0.04399999976158142,0.05900000035762787,0.05040000006556511,0.010499999858438969
AO090003000354-T-p1,Extracellular,Signal peptide,0.2460000067949295,0.13570000231266022,0.7613000273704529,0.06129999831318855,0.47269999980926514,0.004699999932199717,0.1273999959230423,0.18610000610351562,0.22259999811649323,0.05490000173449516
AO090701001051-T-p1,Extracellular,,0.23880000412464142,0.057100001722574234,0.7594000101089478,0.35910001397132874,0.36070001125335693,0.06040000170469284,0.03099999949336052,0.0714000016450882,0.0617000013589859,0.0729999989271164
AO090005001044-T-p1,Extracellular,,0.3366999924182892,0.2515999972820282,0.7565000057220459,0.20669999718666077,0.525600016117096,0.2160000056028366,0.044199999421834946,0.03440000116825104,0.09679999947547913,0.20810000598430634
AO090009000471-T-p1,Extracellular,Signal peptide,0.06909999996423721,0.09369999915361404,0.8454999923706055,0.09239999949932098,0.13840000331401825,0.010700000450015068,0.11339999735355377,0.15950000286102295,0.17970000207424164,0.020800000056624413
AO090701000644-T-p1,Mitochondrion,,0.1664000004529953,0.148499995470047,0.4603999853134155,0.17890000343322754,0.4722000062465668,0.021900000050663948,0.050599999725818634,0.06159999966621399,0.10790000110864639,0.11309999972581863
AO090005000064-T-p1,Extracellular,Signal peptide,0.19599999487400055,0.0966000035405159,0.7494000196456909,0.05779999867081642,0.40720000863075256,0.005799999926239252,0.22840000689029694,0.1348000019788742,0.24500000476837158,0.011500000022351742
AO090020000710-T-p1,Extracellular,Signal peptide,0.07519999891519547,0.03750000149011612,0.9452999830245972,0.08330000191926956,0.21320000290870667,0.007600000128149986,0.027699999511241913,0.03720000013709068,0.06520000100135803,0.007300000172108412
AO090102000564-T-p1,Extracellular,Signal peptide,0.18170000612735748,0.07760000228881836,0.6699000000953674,0.0729999989271164,0.40299999713897705,0.019999999552965164,0.15520000457763672,0.15119999647140503,0.12129999697208405,0.015699999406933784
AO090003000476-T-p1,Extracellular,Signal peptide,0.2741999924182892,0.07460000365972519,0.8158000111579895,0.06129999831318855,0.43779999017715454,0.010099999606609344,0.05169999971985817,0.08449999988079071,0.07410000264644623,0.04010000079870224
AO090023000905-T-p1,Extracellular,,0.14949999749660492,0.09809999912977219,0.6675000190734863,0.06849999725818634,0.37880000472068787,0.08780000358819962,0.0494999997317791,0.12630000710487366,0.12809999287128448,0.003599999938160181
AO090012000708-T-p1,Extracellular,Signal peptide,0.13770000636577606,0.038100000470876694,0.8950999975204468,0.11760000139474869,0.23440000414848328,0.06809999793767929,0.04529999941587448,0.08560000360012054,0.12559999525547028,0.007199999876320362
AO090005000409-T-p1,Extracellular,Signal peptide,0.17149999737739563,0.04610000178217888,0.7710000276565552,0.07530000060796738,0.27570000290870667,0.05009999871253967,0.06350000202655792,0.07500000298023224,0.09640000015497208,0.02319999970495701
AO090003000321-T-p1,Cytoplasm|Mitochondrion,,0.5291000008583069,0.3151000142097473,0.439300000667572,0.07450000196695328,0.7943000197410583,0.007799999788403511,0.04820000007748604,0.0851999968290329,0.03150000050663948,0.05079999938607216
AO090010000644-T-p1,Extracellular|Mitochondrion,,0.36890000104904175,0.20569999516010284,0.7372999787330627,0.0658000037074089,0.73580002784729,0.016300000250339508,0.02669999934732914,0.03790000081062317,0.033900000154972076,0.1527000069618225
AO090009000117-T-p1,Extracellular,Signal peptide,0.17870000004768372,0.08410000056028366,0.8561000227928162,0.04560000076889992,0.2736000120639801,0.004100000020116568,0.03180000185966492,0.06889999657869339,0.12680000066757202,0.014100000262260437
AO090011000357-T-p1,Extracellular|Mitochondrion,,0.21799999475479126,0.23970000445842743,0.7138000130653381,0.1257999986410141,0.6313999891281128,0.03680000081658363,0.050599999725818634,0.056699998676776886,0.03539999946951866,0.009700000286102295
AO090120000454-T-p1,Extracellular,Signal peptide,0.12780000269412994,0.050599999725818634,0.7753999829292297,0.0949999988079071,0.33880001306533813,0.007899999618530273,0.18019999563694,0.14169999957084656,0.18060000240802765,0.037700001150369644
AO090038000337-T-p1,Extracellular,,0.3001999855041504,0.09950000047683716,0.4745999872684479,0.12839999794960022,0.31150001287460327,0.03240000084042549,0.15970000624656677,0.2207999974489212,0.17419999837875366,0.05689999833703041
AO090103000153-T-p1,Extracellular,Signal peptide,0.1492999941110611,0.0714000016450882,0.6123999953269958,0.09619999676942825,0.26269999146461487,0.015300000086426735,0.3598000109195709,0.17399999499320984,0.1678999960422516,0.013100000098347664
AO090011000052-T-p1,Extracellular,,0.25290000438690186,0.05009999871253967,0.7868000268936157,0.10670000314712524,0.3246000111103058,0.014000000432133675,0.059700001031160355,0.08020000159740448,0.06650000065565109,0.003800000064074993
AO090701000071-T-p1,Extracellular,Signal peptide,0.1128000020980835,0.06019999831914902,0.9330999851226807,0.07050000131130219,0.24549999833106995,0.014000000432133675,0.042899999767541885,0.04390000179409981,0.07079999893903732,0.008500000461935997
AO090001000733-T-p1,Extracellular,,0.27079999446868896,0.06719999760389328,0.7218999862670898,0.11110000312328339,0.49779999256134033,0.08839999884366989,0.09759999811649323,0.1875,0.10450000315904617,0.01759999990463257
AO090701000246-T-p1,Extracellular,Signal peptide,0.17110000550746918,0.04670000076293945,0.758899986743927,0.07999999821186066,0.37700000405311584,0.08889999985694885,0.0860000029206276,0.225600004196167,0.0892999991774559,0.007400000002235174
